title,email,phone,website,address1,address2,city,state,zip,county,longitude,latitude,facebook,twitter,youtube,instagram,public,featured,featured_text,tags,categories,images
Des Moines Art Center,stefan.egeberg@gmail.com,5156612992,www.desmoinesartcenter.org,4700 Grand Ave,,Des Moines,,50312,,-93.6815962,41.5839751,https://www.facebook.com/DesMoinesArtCenter,https://twitter.com/dmartcenter,,,TRUE,FALSE,,,museum,"https://www.filepicker.io/api/file/uPN8fGyUT4uewb0TH3xk, https://www.filepicker.io/api/file/RRIijZleTbg7OcVperqU"
Toolesboro Mound Group,,,http://en.wikipedia.org/wiki/Toolesboro_Mound_Group,Prairie Street,,Wapello,,52653,,-91.05,41.15,,,,,TRUE,FALSE,,,national_historic_landmark,http://upload.wikimedia.org/wikipedia/commons/d/d1/Toolesboro_mounds.jpg
Reverend George B. Hitchcock House,,,http://en.wikipedia.org/wiki/Reverend_George_B._Hitchcock_House,63748567th Lane,,Lewis,,51544,,-95.103472,41.30325,,,,,TRUE,FALSE,,,national_historic_landmark,http://upload.wikimedia.org/wikipedia/commons/5/54/George_B._Hitchcock_house_from_S.jpg
Herbert Hoover National Historic Site,,,http://en.wikipedia.org/wiki/Herbert_Hoover_National_Historic_Site,107North Downey Street,,West Branch,,52358,,-91.348056,41.668611,,,,,TRUE,FALSE,,,national_historic_landmark,http://upload.wikimedia.org/wikipedia/commons/5/50/Herbert_Hoover_birthplace.jpg
Indian Village Site (Witrock Area),,,http://en.wikipedia.org/wiki/Indian_Village_Site_(Witrock_Area),107North Downey Street,,West Branch,,52358,,-91.348056,41.668611,,,,,TRUE,FALSE,,,national_historic_landmark,http://upload.wikimedia.org/wikipedia/commons/4/4d/Indian_Village_Site_Witrock_Area.jpg
Lone Star (towboat),,,http://en.wikipedia.org/wiki/Lone_Star_(towboat),Wisconsin Street,,Le Claire,,52753,,-90.342553,41.598303,,,,,TRUE,FALSE,,,national_historic_landmark,http://upload.wikimedia.org/wikipedia/commons/7/7d/Lone_Star.jpg
Iowa Old Capitol Building,,,http://en.wikipedia.org/wiki/Iowa_Old_Capitol_Building,201South Clinton Street,,Iowa City,,52240,,-91.53565,41.65943,,,,,TRUE,FALSE,,,national_historic_landmark,http://upload.wikimedia.org/wikipedia/commons/8/8d/Old_Capitol_Iowa_City.jpg
Grenville M. Dodge House,,,http://en.wikipedia.org/wiki/Grenville_M._Dodge_House,601-699South 3rd Street,,Council Bluffs,,51503,,-95.84813,41.25513,,,,,TRUE,FALSE,,,national_historic_landmark,http://upload.wikimedia.org/wikipedia/commons/f/f7/GMDodge-House.jpg
Van Allen Building,,,http://en.wikipedia.org/wiki/Van_Allen_Building,100-1985th Avenue South,,Clinton,,52732,,-90.18822,41.84121,,,,,TRUE,FALSE,,,national_historic_landmark,"http://upload.wikimedia.org/wikipedia/commons/3/30/July_18,_2005_249_1.JPG"
James B. Weaver House,,,http://en.wikipedia.org/wiki/James_B._Weaver_House,100-198Weaver Road,,Bloomfield,,52537,,-92.412611,40.755333,,,,,TRUE,FALSE,,,national_historic_landmark,http://upload.wikimedia.org/wikipedia/commons/e/ed/James_B._Weaver_house_from_W_2.jpg
